,time,pollution_rate,lon,lat,id
0,02:00:00,2.31695666778097,-3.682583333333333,40.41444444444444,1
1,03:00:00,2.2262835094676103,-3.682583333333333,40.41444444444444,1
2,04:00:00,2.171335645082772,-3.682583333333333,40.41444444444444,1
3,05:00:00,2.1505381554485123,-3.682583333333333,40.41444444444444,1
4,06:00:00,2.1454241006130905,-3.682583333333333,40.41444444444444,1
5,07:00:00,2.1338615059961787,-3.682583333333333,40.41444444444444,1
6,08:00:00,2.1048051809265056,-3.682583333333333,40.41444444444444,1
7,09:00:00,2.063906037972952,-3.682583333333333,40.41444444444444,1
8,10:00:00,2.027599283215098,-3.682583333333333,40.41444444444444,1
9,11:00:00,2.0124164802997013,-3.682583333333333,40.41444444444444,1
10,12:00:00,2.0282007856262,-3.682583333333333,40.41444444444444,1
11,13:00:00,2.0780474647204503,-3.682583333333333,40.41444444444444,1
12,14:00:00,2.1608843405869638,-3.682583333333333,40.41444444444444,1
13,15:00:00,2.2715551371569713,-3.682583333333333,40.41444444444444,1
14,16:00:00,2.3982777554018164,-3.682583333333333,40.41444444444444,1
15,17:00:00,2.522201161170016,-3.682583333333333,40.41444444444444,1
16,18:00:00,2.6227011724287346,-3.682583333333333,40.41444444444444,1
17,19:00:00,2.6859240319304796,-3.682583333333333,40.41444444444444,1
18,20:00:00,2.709582964688479,-3.682583333333333,40.41444444444444,1
19,21:00:00,2.6995225832168726,-3.682583333333333,40.41444444444444,1
20,22:00:00,2.661240365474812,-3.682583333333333,40.41444444444444,1
21,23:00:00,2.5947837570807586,-3.682583333333333,40.41444444444444,1
22,00:00:00,2.498489479648145,-3.682583333333333,40.41444444444444,1
23,01:00:00,2.378166093864767,-3.682583333333333,40.41444444444444,1
